Plate	Genotype	Sex	Target	Sample	Cq
2	Del(Rel5-SB1)	M	Hoxd10	1115	31.5189531528305
2	Del(Rel5-SB1)	M	Hoxd10	1115	31.5641984667355
2	Del(Rel5-SB1)	M	Hoxd10	1115	31.3630224398242
2	Del(Rel5-SB1)	M	Tbp	1876	30.0680448897841
2	Del(Rel5-SB1)	M	Tbp	1876	30.2001697076637
2	Del(Rel5-SB1)	M	Tbp	1876	30.3466080414943
2	Del(Rel5-SB1)	M	Hoxd13	1876	37.6067711499155
2	Del(Rel5-SB1)	M	Hoxd13	1876	37.1303636950075
2	Del(Rel5-SB1)	M	Hoxd13	1876	37.4133789780387
2	Del(Rel5-SB1)	M	Hoxd11	1876	31.1763190822369
2	Del(Rel5-SB1)	M	Hoxd11	1876	30.8243984510278
2	Del(Rel5-SB1)	M	Hoxd11	1876	31.067971455735
2	Del(Rel5-SB1)	M	Hoxd10	1876	32.099008637834
2	Del(Rel5-SB1)	M	Hoxd10	1876	32.0986695591486
2	Del(Rel5-SB1)	M	Hoxd10	1876	32.2526630576978
2	Del(SB1-Atf2)	M	Tbp	1149	28.7488626158567
2	Del(SB1-Atf2)	M	Tbp	1149	28.5208731416122
2	Del(SB1-Atf2)	M	Tbp	1149	28.8878347375414
2	Del(SB1-Atf2)	M	Hoxd13	1149	26.7401718927869
2	Del(SB1-Atf2)	M	Hoxd13	1149	26.6806710749852
2	Del(SB1-Atf2)	M	Hoxd13	1149	26.5929623490438
2	Del(SB1-Atf2)	M	Hoxd11	1149	26.0806474824964
2	Del(SB1-Atf2)	M	Hoxd11	1149	26.0157618952855
2	Del(SB1-Atf2)	M	Hoxd11	1149	25.9893605901148
2	Del(SB1-Atf2)	M	Hoxd10	1149	29.3201549175103
2	Del(SB1-Atf2)	M	Hoxd10	1149	29.501578703098
2	Del(SB1-Atf2)	M	Hoxd10	1149	29.3840575485648
2	Del(SB1-Atf2)	M	Tbp	1150	28.3916405496124
2	Del(SB1-Atf2)	M	Tbp	1150	28.8727659792022
2	Del(SB1-Atf2)	M	Tbp	1150	28.5207625316607
2	Del(SB1-Atf2)	M	Hoxd13	1150	26.9388954293818
2	Del(SB1-Atf2)	M	Hoxd13	1150	26.5146481708598
2	Del(SB1-Atf2)	M	Hoxd13	1150	26.5116876558825
2	Del(SB1-Atf2)	M	Hoxd11	1150	26.0800936021417
2	Del(SB1-Atf2)	M	Hoxd11	1150	26.009566520399
2	Del(SB1-Atf2)	M	Hoxd11	1150	26.007743915354
2	Del(SB1-Atf2)	M	Hoxd10	1150	29.3246149046809
2	Del(SB1-Atf2)	M	Hoxd10	1150	29.3678199951592
2	Del(SB1-Atf2)	M	Hoxd10	1150	29.5012577999671
2	Del(SB1-Atf2)	M	Tbp	1198	29.3874931724274
2	Del(SB1-Atf2)	M	Tbp	1198	29.1675724147658
2	Del(SB1-Atf2)	M	Tbp	1198	29.19984146825
2	Del(SB1-Atf2)	M	Hoxd13	1198	26.8597016097013
2	Del(SB1-Atf2)	M	Hoxd13	1198	26.8146735718021
2	Del(SB1-Atf2)	M	Hoxd13	1198	26.6560077385097
2	Del(SB1-Atf2)	M	Hoxd11	1198	26.6906848443177
